Geneid,tissue,betahat,sebetahat,NegativeProb,PositiveProb,lfsr,svalue,lfdr,qvalue,PosteriorMean,PosteriorSD
nrv2,body,-0.16708104991187944,0.12898643204608348,0.2502219531986536,0.07594094513715699,0.7497780468013464,0.588338225202834,0.6738371016641894,0.5306309642021368,-0.018170850938993437,0.05153712385074856
rin,body,-0.055910110644633804,0.06959332611777679,0.18443220263275473,0.06764147109322094,0.8155677973672453,0.6874509328620508,0.7479263262740243,0.6674758753364807,-0.00843136503569394,0.030825402392868448
Rab10,body,0.07970754164683536,0.08247224853207959,0.06846577231599582,0.21186726667466416,0.7881327333253358,0.6452795732697908,0.71966696100934,0.617941592514822,0.011684655620711965,0.037020262583328356
Rab11,body,-0.2183986845637247,0.08470839039256217,0.6218085122066952,0.02010099461724668,0.3781914877933048,0.15648939089729055,0.3580904931760581,0.14951037677210421,-0.07789599292859586,0.080907426638264765
Rab14,body,-0.05076262901227668,0.0866467137951773,0.1675867825694659,0.08673671395222515,0.8324132174305341,0.7104334423343175,0.7456765034783089,0.6651959172191703,-0.0064085561925072525,0.032812711037699775
Rab18,body,0.0994154595074277,0.09430467248011282,0.07087329307857071,0.22532795850524467,0.7746720414947553,0.625814150214432,0.7037987484161846,0.5855347241967784,0.013626937580156248,0.0412469476962866
Rab7,body,-0.003302244793992104,0.07516228479473358,0.11558586036322693,0.10970752656512506,0.8844141396367731,0.7646885296346895,0.774706613071648,0.6781498827602791,-4.1642789850244316e-4,0.02670274045518577
Rab6,body,0.07050039258424867,0.09992663665252567,0.08768413893368399,0.18368141646191583,0.8163185835380842,0.688684128674053,0.7286344446044002,0.6392870741085706,0.008270938642405525,0.03706251547460111
Rbf,body,0.0018929188966683164,0.09270959512375516,0.12090000831700609,0.12359003684008296,0.876409963159917,0.7627024870196601,0.755509954842911,0.6719955858104579,2.1430724354943692e-4,0.031196890632972443
Reg-5,body,-0.058779194306586846,0.12753647883350203,0.16573458066356728,0.10941912596972181,0.8342654193364327,0.7131302514864344,0.7248462933667109,0.629593234254484,-0.005276376129616015,0.039329018185970024
RtGEF,body,-0.06492985186204725,0.12014286719157516,0.17123715426989827,0.10320522421113654,0.8287628457301017,0.7060743037240675,0.7255576215189652,0.6315077037893516,-0.006255213935485518,0.03886202718466142
